ts_code,trade_date,close,pe,pe_ttm,total_mv,circ_mv,pb,turnover_rate
002773.SZ,20250808,42.28,32.6931,31.9818,3894508.4837,2903281.6828,4.5807,1.263
600329.SH,20250808,39.94,13.7968,13.8782,3075756.8579,2264954.8879,4.253,1.0137
872541.BJ,20250808,18.7,44.854,41.9589,255629.0,168409.7391,6.1953,13.0028
600336.SH,20250808,7.07,,,564196.4417,564196.4417,2.2735,1.4067
603150.SH,20250808,41.24,25.3563,24.8089,352531.892,352531.892,2.1823,7.1352
836547.BJ,20250808,25.99,47.1193,42.6783,201911.112,92534.796,3.0295,3.7957
601199.SH,20250808,5.73,13.3301,12.9737,535875.4973,535875.4973,1.2256,0.7701
600936.SH,20250808,3.8,,,634989.9708,634989.9708,13.9973,0.8158
301629.SZ,20250808,155.11,70.4522,72.4248,647231.747,161807.9445,5.6182,12.6034
002920.SZ,20250808,103.3,28.5934,26.0296,5732626.2793,5713892.938,5.9967,0.7688
605500.SH,20250808,9.87,21.1485,21.3841,409012.8,409012.8,1.5986,1.6841
688039.SH,20250808,53.1,,,587293.5614,587293.5614,5.3513,9.9961
300852.SZ,20250808,33.28,33.7941,38.6565,474080.3991,455560.5617,3.1469,4.1817
002652.SZ,20250808,3.89,284.1947,295.5778,199192.896,199192.896,7.6112,4.9381
832662.BJ,20250808,33.39,98.0682,102.6802,292329.4567,82074.9139,6.5574,42.6524
600575.SH,20250808,3.54,16.038,16.9007,1375736.417,1375736.417,1.1691,0.5345
000509.SZ,20250808,3.51,,,376667.9463,376666.8076,27.9108,0.9982
603081.SH,20250808,12.95,86.8689,88.4334,561243.7641,561243.7641,1.8002,3.8956
600200.SH,20250808,1.13,11.3969,,80329.3812,80329.3812,0.4595,13.9034
601698.SH,20250808,20.65,191.9361,209.333,8723355.8758,8723355.8758,5.5703,1.5398
002847.SZ,20250808,70.82,30.1873,29.3357,1931825.6867,1740197.9846,11.689,1.2312
836504.BJ,20250808,28.43,77.9207,77.5433,123196.0033,48608.7696,6.3921,8.2488
301536.SZ,20250808,56.87,93.443,93.3537,2394568.22,1061128.0602,8.1275,3.1761
300977.SZ,20250808,19.92,,,303235.6402,188705.5145,2.2261,1.7619
