ts_code,pb
002305.SZ,
002304.SZ,2.1488
002307.SZ,1.9718
002309.SZ,5.7125
002310.SZ,8.2151
002311.SZ,3.9236
002312.SZ,2.2744
002316.SZ,28.7052
002314.SZ,0.8456
002313.SZ,150.8922
002317.SZ,4.6768
002315.SZ,7.2386
002319.SZ,15.2175
002318.SZ,3.0701
002320.SZ,4.0696
002322.SZ,1.7174
002321.SZ,6.2004
002324.SZ,3.3279
002323.SZ,8.7967
002326.SZ,4.6661
002327.SZ,1.7807
002328.SZ,1.4718
002329.SZ,3.5826
002330.SZ,1.3979
002332.SZ,1.795
002331.SZ,2.1249
002333.SZ,1.9463
002334.SZ,2.4333
002335.SZ,3.6448
002337.SZ,2.8402
002340.SZ,1.6786
002342.SZ,2.9634
002338.SZ,9.0526
002339.SZ,2.4134
002343.SZ,3.8887
002344.SZ,0.6801
002346.SZ,2.7878
002345.SZ,4.213
002350.SZ,2.4155
002348.SZ,8.4091
002349.SZ,2.4429
002351.SZ,4.405
002347.SZ,3.1041
002352.SZ,2.5412
002353.SZ,2.1262
002356.SZ,7.6166
002354.SZ,10.1326
002355.SZ,2.9204
002357.SZ,1.9568
002358.SZ,1.5167
002360.SZ,1.0815
002361.SZ,3.1801
002362.SZ,5.4642
002363.SZ,1.6368
002364.SZ,3.9164
002366.SZ,3.6011
002367.SZ,1.7645
002368.SZ,3.0257
002365.SZ,2.9844
002369.SZ,11.7847
002370.SZ,5.2992
002371.SZ,7.3978
002373.SZ,1.6225
002372.SZ,3.8744
002374.SZ,3.4208
002376.SZ,1.7335
002375.SZ,0.6671
002377.SZ,6.3193
002378.SZ,5.2146
002380.SZ,2.7176
002379.SZ,9.4598
002381.SZ,1.4091
002382.SZ,0.7927
002383.SZ,4.6343
002384.SZ,4.648
002385.SZ,2.0798
002386.SZ,0.9265
002388.SZ,2.3517
002389.SZ,3.3481
002387.SZ,2.6293
002390.SZ,1.0802
002391.SZ,0.9821
002392.SZ,1.4777
002393.SZ,1.312
002397.SZ,2.2933
002394.SZ,0.7841
002396.SZ,2.549
002398.SZ,1.0738
002395.SZ,3.5451
002399.SZ,1.6039
002400.SZ,2.7377
002401.SZ,4.4314
002402.SZ,5.2002
002404.SZ,1.9899
002403.SZ,3.2598
002405.SZ,2.3313
002406.SZ,1.5585
002407.SZ,1.7885
002408.SZ,1.238
002409.SZ,3.5851
002413.SZ,2.3614
002412.SZ,1.5716
002410.SZ,3.8269
002415.SZ,3.3817
002414.SZ,8.7799
002416.SZ,2.6667
002418.SZ,3.0282
002419.SZ,1.6334
002422.SZ,2.6242
002420.SZ,4.7974
002421.SZ,2.1373
002423.SZ,1.3209
002424.SZ,2.6728
002425.SZ,1.0493
002426.SZ,4.2979
002427.SZ,8.146
002428.SZ,10.3153
002432.SZ,0.8814
002431.SZ,2.8093
002429.SZ,1.2946
002430.SZ,2.4629
002434.SZ,1.9403
002437.SZ,4.1258
002436.SZ,5.5339
002438.SZ,2.129
002440.SZ,0.9249
002439.SZ,1.7419
002442.SZ,1.8219
002441.SZ,1.1477
002443.SZ,1.0283
002445.SZ,2.6352
002444.SZ,2.3046
002446.SZ,2.8537
002448.SZ,1.5433
002452.SZ,1.919
002451.SZ,4.1752
002449.SZ,1.5014
002453.SZ,4.795
002454.SZ,1.3411
002456.SZ,10.3308
002458.SZ,2.3775
002455.SZ,2.3222
002459.SZ,1.4117
002457.SZ,1.6739
002460.SZ,1.8076
002461.SZ,2.2626
