ts_code,pb
601187.SH,0.7319
601169.SH,0.5125
601179.SH,1.5166
601177.SH,2.9971
601186.SH,0.4212
601188.SH,1.0184
601198.SH,1.2949
601212.SH,1.6547
601200.SH,0.9905
601211.SH,1.1492
601199.SH,1.2256
601208.SH,3.3199
601216.SH,1.6648
601218.SH,1.4478
601226.SH,1.8519
601229.SH,0.6317
601222.SH,0.7832
601225.SH,2.4945
601231.SH,2.0287
601236.SH,1.7349
601228.SH,1.2212
601233.SH,0.8038
601279.SH,1.5361
601238.SH,0.6784
601288.SH,0.9055
601298.SH,1.3262
601319.SH,1.3323
601326.SH,0.9673
601311.SH,1.1519
601318.SH,1.1709
601328.SH,0.6246
603937.SH,1.4412
603948.SH,1.75
603949.SH,4.0228
603933.SH,2.6869
603938.SH,2.3295
603939.SH,2.7688
603950.SH,2.8588
603936.SH,1.4876
603958.SH,5.2825
603960.SH,4.6991
603955.SH,3.1786
603967.SH,1.8332
603956.SH,1.9671
603966.SH,2.4527
603959.SH,25.7328
603968.SH,1.4621
603976.SH,2.8518
603970.SH,2.6303
603980.SH,1.0588
603978.SH,2.1424
603969.SH,2.937
603977.SH,2.5313
603979.SH,3.3911
603982.SH,1.4533
603983.SH,4.9271
603985.SH,2.3345
603989.SH,1.77
603990.SH,5.6
603987.SH,1.5903
603986.SH,4.6651
603991.SH,25.1476
603988.SH,8.7358
603992.SH,4.1445
603995.SH,1.2025
605001.SH,1.1854
605003.SH,1.8041
603993.SH,3.0834
603997.SH,3.1171
603999.SH,2.0323
603998.SH,3.0489
605005.SH,3.9349
605006.SH,1.7841
605009.SH,2.7017
605008.SH,4.6451
605007.SH,1.7762
605011.SH,3.9068
605016.SH,4.7341
605018.SH,2.2837
605020.SH,2.7914
605028.SH,2.6236
605033.SH,2.5332
605055.SH,3.1761
605050.SH,2.0986
605056.SH,3.9012
605060.SH,2.5876
605058.SH,2.4978
605066.SH,2.3133
605068.SH,2.2724
605069.SH,2.6156
605077.SH,1.8319
605081.SH,1.4505
605080.SH,1.7852
605086.SH,4.1135
605088.SH,3.1326
605089.SH,3.0476
605090.SH,2.0499
605098.SH,4.8192
605099.SH,4.6424
605100.SH,1.8978
605111.SH,3.3901
605108.SH,2.2329
605116.SH,4.1216
605117.SH,5.5178
605118.SH,9.6119
605122.SH,1.21
605123.SH,2.0083
605136.SH,1.585
605128.SH,3.9819
605138.SH,1.7727
605133.SH,2.5582
605151.SH,2.0346
605155.SH,2.0629
605158.SH,1.9232
605162.SH,2.8959
605166.SH,2.0518
605167.SH,2.6902
605168.SH,2.6787
605169.SH,2.5496
605177.SH,1.4001
605178.SH,1.7656
605180.SH,2.479
605179.SH,7.2543
605183.SH,2.5388
605186.SH,2.8362
605188.SH,4.7003
605189.SH,1.8617
605196.SH,3.5095
605198.SH,6.2425
605208.SH,2.0183
605199.SH,5.0671
605228.SH,3.9746
605222.SH,1.4573
605218.SH,3.6947
605255.SH,4.2298
605258.SH,2.433
605259.SH,2.8978
605266.SH,1.3389
605268.SH,2.8162
605286.SH,3.1832
605277.SH,5.5743
605287.SH,1.3961
605288.SH,1.7188
605289.SH,3.1667
605296.SH,3.5078
605300.SH,2.2224
605303.SH,2.0458
605299.SH,3.2088
605298.SH,3.3653
605305.SH,3.1822
605318.SH,5.8036
605319.SH,3.5212
605333.SH,6.7458
605338.SH,2.4818
605339.SH,2.2714
605337.SH,3.2406
605336.SH,1.5868
605358.SH,2.3587
605365.SH,2.0476
605366.SH,2.0766
605368.SH,2.1376
605376.SH,7.1182
605378.SH,5.4418
605377.SH,1.3367
605369.SH,2.7657
605389.SH,3.1313
605388.SH,2.6431
605398.SH,5.2736
605399.SH,1.9609
605500.SH,1.5986
605499.SH,17.7322
605507.SH,1.6008
605488.SH,6.0787
605555.SH,2.8003
605566.SH,1.6041
605567.SH,2.1178
605577.SH,1.5772
605580.SH,5.4517
605599.SH,3.2438
605588.SH,3.5805
605589.SH,2.7319
605598.SH,4.0156
688001.SH,3.6919
688002.SH,5.8356
688003.SH,5.4896
688005.SH,1.9249
688007.SH,2.7556
688004.SH,3.3571
688006.SH,2.3548
688008.SH,9.0761
688009.SH,1.3022
688010.SH,3.4367
688011.SH,4.3179
688012.SH,6.0752
688013.SH,5.6445
688017.SH,7.1786
688015.SH,1.6693
688016.SH,3.5971
688018.SH,10.8382
688019.SH,8.6462
688020.SH,3.1014
688021.SH,1.692
688022.SH,4.2637
688023.SH,2.3833
688025.SH,4.955
688026.SH,2.6658
688027.SH,8.5511
688028.SH,1.9289
688030.SH,4.3178
688031.SH,6.0606
688029.SH,4.1689
688032.SH,2.2494
688033.SH,1.0744
688035.SH,2.6096
688036.SH,5.1994
688037.SH,8.4396
688045.SH,1.9456
688041.SH,14.9873
688038.SH,3.4392
688039.SH,5.3513
688046.SH,3.1705
688047.SH,18.0394
688048.SH,4.4409
688049.SH,4.4909
688050.SH,5.605
688052.SH,4.1455
688051.SH,3.4575
688053.SH,2.3398
688055.SH,3.1436
688056.SH,3.3726
688057.SH,1.2163
688058.SH,3.4734
688059.SH,4.6921
688062.SH,10.419
688060.SH,2.7416
688061.SH,1.6628
688063.SH,1.1705
688065.SH,2.0395
688066.SH,7.1697
688067.SH,3.9782
688070.SH,9.3397
688069.SH,2.4049
688068.SH,7.541
688071.SH,3.9183
688072.SH,9.0207
688073.SH,2.6398
688075.SH,1.0406
688076.SH,5.2536
688077.SH,3.5742
688078.SH,3.3456
688079.SH,3.6077
688080.SH,3.3342
688081.SH,6.6773
688082.SH,6.1362
688083.SH,4.3408
688084.SH,4.9416
688085.SH,3.2483
688087.SH,2.076
688089.SH,3.0042
688088.SH,7.2504
688090.SH,5.0029
688091.SH,10.3154
688092.SH,3.3327
688093.SH,5.0559
688095.SH,2.8181
688097.SH,3.0811
688096.SH,2.5592
688098.SH,2.7384
688099.SH,4.4257
688100.SH,5.1014
688101.SH,1.2075
688102.SH,10.729
688103.SH,5.1843
688106.SH,2.9801
688107.SH,10.2716
688105.SH,2.5584
688108.SH,9.6818
688109.SH,4.4003
688110.SH,10.3505
