ts_code,roe
002297.SZ,0.0479
002296.SZ,5.7402
002299.SZ,1.4033
002300.SZ,1.1041
002301.SZ,1.5761
002302.SZ,-2.7115
002303.SZ,1.7733
002306.SZ,
002305.SZ,
002304.SZ,7.0414
002307.SZ,-2.2899
002309.SZ,-4.894
002310.SZ,-0.3176
002311.SZ,10.9237
002312.SZ,1.0868
002316.SZ,4.7481
002314.SZ,2.7315
002313.SZ,-57.8036
002317.SZ,2.089
002315.SZ,4.533
002319.SZ,-0.5081
002318.SZ,4.8586
002320.SZ,2.7427
002322.SZ,1.0952
002321.SZ,-1.2475
002324.SZ,2.4954
002323.SZ,-4.8142
002326.SZ,0.3929
002327.SZ,1.4304
002328.SZ,1.2239
002329.SZ,0.6063
002330.SZ,0.4228
002332.SZ,2.4245
002331.SZ,-0.9111
002333.SZ,0.7399
002334.SZ,1.1855
002335.SZ,1.2995
002337.SZ,0.499
002340.SZ,2.5735
002342.SZ,0.2463
002338.SZ,1.0362
002339.SZ,-3.4501
002343.SZ,0.2031
002344.SZ,0.7055
002346.SZ,5.1105
002345.SZ,5.2104
002350.SZ,0.6292
002348.SZ,-3.2979
002349.SZ,2.379
002351.SZ,3.5966
002347.SZ,-0.7681
002352.SZ,2.4009
002353.SZ,5.7724
002356.SZ,-1.0109
002354.SZ,0.4284
002355.SZ,10.3011
002357.SZ,4.08
002358.SZ,1.2954
002360.SZ,0.5126
002361.SZ,0.5306
002362.SZ,-1.2146
002363.SZ,0.8848
002364.SZ,0.8314
002366.SZ,0.0671
002367.SZ,1.9359
002368.SZ,0.3098
002365.SZ,-0.2201
002369.SZ,-7.144
002370.SZ,-0.7922
002371.SZ,4.9592
002373.SZ,1.9532
002372.SZ,2.2078
002374.SZ,-5.7247
002376.SZ,0.1267
002375.SZ,0.8288
002377.SZ,0.4655
002378.SZ,1.9774
002380.SZ,2.6968
002379.SZ,-2.8934
002381.SZ,1.1802
002382.SZ,0.9369
002383.SZ,0.161
002384.SZ,2.389
002385.SZ,1.5598
002386.SZ,0.152
002388.SZ,1.3691
002389.SZ,-0.3849
002387.SZ,-10.0364
002390.SZ,0.6128
002391.SZ,0.3948
002392.SZ,2.3328
002393.SZ,1.1554
002397.SZ,0.8445
002394.SZ,1.7602
002396.SZ,0.6284
002398.SZ,1.0183
002395.SZ,4.8831
002399.SZ,1.2817
002400.SZ,0.5194
002401.SZ,0.2696
002402.SZ,3.5523
002404.SZ,2.4527
002403.SZ,0.3552
002405.SZ,-1.7543
002406.SZ,0.7028
002407.SZ,0.76
002408.SZ,0.0461
002409.SZ,3.559
002413.SZ,-1.0756
002412.SZ,0.5121
002410.SZ,0.499
002415.SZ,7.1063
002414.SZ,1.3115
002416.SZ,2.0406
002418.SZ,0.8784
002419.SZ,3.6178
002422.SZ,2.5639
002420.SZ,3.8872
002421.SZ,-1.2291
002423.SZ,1.7483
002424.SZ,0.7569
002425.SZ,0.1224
002426.SZ,-0.9655
002427.SZ,0.5663
002428.SZ,0.6978
002432.SZ,1.2632
002431.SZ,-10.2526
002429.SZ,2.0843
002430.SZ,2.4193
002434.SZ,1.8602
002437.SZ,3.1017
002436.SZ,0.1881
002438.SZ,2.5104
002440.SZ,0.509
002439.SZ,0.014
002442.SZ,1.54
002441.SZ,2.1539
002443.SZ,0.7506
002445.SZ,2.1916
002444.SZ,2.7658
002446.SZ,1.0113
002448.SZ,3.1393
002452.SZ,1.3764
002451.SZ,0.4159
002449.SZ,0.4356
002453.SZ,-2.2041
002454.SZ,2.3531
002456.SZ,-1.6144
002458.SZ,0.1405
002455.SZ,2.1076
002459.SZ,-6.0566
002457.SZ,-0.2177
002460.SZ,-0.8555
002461.SZ,1.483
002462.SZ,1.0609
002465.SZ,0.0201
002466.SZ,0.2492
002468.SZ,2.4034
002467.SZ,0.8449
002463.SZ,6.2255
002469.SZ,1.8731
002470.SZ,0.4271
002471.SZ,-1.1741
002474.SZ,-0.7887
002478.SZ,1.9534
002472.SZ,3.082
002476.SZ,1.4387
002475.SZ,4.2913
002479.SZ,2.3079
002480.SZ,-1.7865
002481.SZ,0.3406
002485.SZ,-0.7015
002483.SZ,1.5862
002484.SZ,2.5604
002482.SZ,-7.3826
002486.SZ,0.9126
002487.SZ,3.1263
002488.SZ,0.2216
002489.SZ,8.6893
002491.SZ,5.0408
002490.SZ,1.0956
002492.SZ,1.228
002493.SZ,1.334
002495.SZ,0.2093
002494.SZ,0.1023
002496.SZ,1.172
002497.SZ,0.7849
002498.SZ,1.7344
002500.SZ,1.3798
002501.SZ,-6.2027
002507.SZ,3.0822
002506.SZ,-8.7585
002508.SZ,2.9951
002510.SZ,0.8324
002511.SZ,1.2253
002512.SZ,-8.7856
002513.SZ,-98.3136
002514.SZ,-14.3022
