ts_code,pe
605268.SH,31.6306
605286.SH,26.2137
605277.SH,53.7074
605287.SH,
605288.SH,43.8495
605289.SH,
605296.SH,25.3473
605300.SH,75.2484
605303.SH,
605299.SH,42.4933
605298.SH,86.4909
605305.SH,26.2
605318.SH,
605319.SH,22.6923
605333.SH,22.2967
605338.SH,17.7817
605339.SH,38.4485
605337.SH,22.3285
605336.SH,49.0616
605358.SH,
605365.SH,17.8278
605366.SH,
605368.SH,14.367
605376.SH,125.6026
605378.SH,42.9889
605377.SH,10.9468
605369.SH,26.9269
605389.SH,68.9153
605388.SH,
605398.SH,253.4975
605399.SH,102.5956
605500.SH,21.1485
605499.SH,46.563
605507.SH,16.5017
605488.SH,65.4081
605555.SH,20.1604
605566.SH,143.6446
605567.SH,277.2743
605577.SH,29.468
605580.SH,36.4874
605599.SH,17.1131
605588.SH,
605589.SH,30.1362
605598.SH,77.5128
688001.SH,
688002.SH,55.4103
688003.SH,80.2138
688005.SH,54.007
688007.SH,267.0002
688004.SH,
688006.SH,37.5519
688008.SH,74.1058
688009.SH,16.5147
688010.SH,605.445
688011.SH,
688012.SH,75.9315
688013.SH,57.8311
688017.SH,438.0223
688015.SH,50.4595
688016.SH,27.2473
688018.SH,69.6685
688019.SH,46.097
688020.SH,
688021.SH,
688022.SH,
688023.SH,
688025.SH,75.8262
688026.SH,39.3735
688027.SH,
688028.SH,37.6103
688030.SH,
688031.SH,
688029.SH,28.6919
688032.SH,38.7881
688033.SH,
688035.SH,61.3756
688036.SH,17.8586
688037.SH,112.046
688045.SH,
688041.SH,163.848
688038.SH,
688039.SH,
688046.SH,61.1156
688047.SH,
688048.SH,
688049.SH,79.5612
688050.SH,38.4861
688052.SH,
688051.SH,
688053.SH,
688055.SH,
688056.SH,68.0761
688057.SH,27.834
688058.SH,
688059.SH,53.3998
688062.SH,
688060.SH,
688061.SH,
688063.SH,257.1935
688065.SH,72.0608
688066.SH,
688067.SH,86.2757
688070.SH,
688069.SH,
688068.SH,
688071.SH,
688072.SH,66.9288
688073.SH,43.9608
688075.SH,27.7831
688076.SH,36.3265
688077.SH,117.5912
688078.SH,75.3228
688079.SH,
688080.SH,26.9963
688081.SH,
688082.SH,43.8464
688083.SH,174.3189
688084.SH,
688085.SH,574.5434
688087.SH,18.1414
688089.SH,37.8047
688088.SH,109.4169
688090.SH,396.6323
688091.SH,2140.4443
688092.SH,31.1211
688093.SH,34.6533
688095.SH,264.0589
688097.SH,33.7234
688096.SH,
688098.SH,
688099.SH,36.212
688100.SH,26.8346
688101.SH,15.8194
688102.SH,105.9609
688103.SH,189.984
688106.SH,42.9941
688107.SH,
688105.SH,
688108.SH,5677.6996
688109.SH,105.9435
688110.SH,
