ts_code,volatility
000010.SZ,0.5353616136228097
000006.SZ,0.48918678922625725
000004.SZ,0.5068973110193721
000001.SZ,0.3857066750568254
000002.SZ,0.4403404631291593
000008.SZ,0.4687630252143186
000007.SZ,0.4950665416517704
000009.SZ,0.49379781023063524
000011.SZ,0.478440004488658
000017.SZ,0.593384490563753
000014.SZ,0.5215463201669338
000020.SZ,0.662974011528648
000012.SZ,0.47431949115285277
000019.SZ,0.4998550544496947
000016.SZ,0.4754196011848045
000021.SZ,0.46680367670084927
000028.SZ,0.4199126600729813
000026.SZ,0.4532261688278476
000029.SZ,0.5215200873463466
000032.SZ,0.5099317399586885
000027.SZ,0.38999835189596854
000031.SZ,0.48753252047941786
000025.SZ,0.5245137333285015
000030.SZ,0.45288481742404707
000035.SZ,0.5137695585844195
000034.SZ,0.5196038873524572
000036.SZ,0.4625713407905021
000037.SZ,0.48556892554520936
000045.SZ,0.4999560685612675
000039.SZ,0.44285055084450964
000042.SZ,0.45827272662900587
000048.SZ,0.44709967053797095
000050.SZ,0.511765677188826
000049.SZ,0.5134123773619723
000056.SZ,0.5563576248432083
000055.SZ,0.4803692811039176
000059.SZ,0.4364834742587855
000058.SZ,0.5059509077997314
000060.SZ,0.47709581115009914
000061.SZ,0.4423034689517657
000063.SZ,0.4481094831358994
000062.SZ,0.49075608632437967
000065.SZ,0.5152713426390465
000068.SZ,0.4816232423139555
000069.SZ,0.4496823197246662
000066.SZ,0.4931763086474881
000070.SZ,0.5192555498173668
000078.SZ,0.4843540387452712
000089.SZ,0.3489517902685575
000088.SZ,0.4140792415241855
000090.SZ,0.44750181647328424
000096.SZ,0.4377580295526888
000099.SZ,0.473398913272284
000100.SZ,0.4420437144035888
000151.SZ,0.5254755499523505
000153.SZ,0.4820319256722444
000155.SZ,0.48406036121398266
000166.SZ,0.3271466956168695
000333.SZ,0.40866165902095103
000157.SZ,0.45965149277381484
000301.SZ,0.44625441686971823
000156.SZ,2.6009076174654666
000158.SZ,0.5262875931262798
000159.SZ,0.5261883819604838
000338.SZ,0.4632826775464891
000401.SZ,0.44846994092169906
000403.SZ,0.7688048396604061
000400.SZ,0.4721173451960993
000402.SZ,0.44298354705310866
000404.SZ,0.45602692315376714
000407.SZ,0.4534063767216583
000408.SZ,0.47083548392927943
000409.SZ,0.5026781714365282
000410.SZ,0.47968980435177083
000411.SZ,0.5037611298081691
000419.SZ,0.46033864695804355
000417.SZ,0.4224105221055606
000420.SZ,0.4791929414246835
000415.SZ,0.4857893190507365
000421.SZ,0.43958349947560305
000422.SZ,0.4639867720912194
000423.SZ,0.39332296680953877
000426.SZ,0.5005303828210195
000425.SZ,0.47894484488718314
000428.SZ,0.4962370368754579
000429.SZ,0.32688803709606495
000430.SZ,0.4179944506596526
000488.SZ,0.4182998844627183
000498.SZ,0.4778617856993778
000501.SZ,0.41440436412434767
000504.SZ,0.5207758924217734
000507.SZ,0.44368910577441695
000505.SZ,0.5158188061482936
000506.SZ,0.5399242636409509
000503.SZ,0.5608386832126129
000509.SZ,0.5128298833646541
000510.SZ,0.48392537963876725
000513.SZ,0.43106236192850456
000514.SZ,0.516675804744516
000516.SZ,0.4985248386357221
000517.SZ,1.171504157895122
000518.SZ,0.4890503504064451
000519.SZ,0.49467327267900446
000520.SZ,1.5834873675737255
000521.SZ,0.4420046167881501
000523.SZ,0.48273446641331846
000524.SZ,0.49499002176913565
000525.SZ,0.46673390698728984
000526.SZ,0.5187285331206376
000528.SZ,0.44530822603693776
000530.SZ,0.4655400337951376
000529.SZ,1.763797016381741
000531.SZ,0.44417220557500137
000533.SZ,0.48343177297450607
000532.SZ,0.5350045785335464
000536.SZ,0.5284939418086027
000534.SZ,0.46472126594658464
000537.SZ,0.5186737557883752
000538.SZ,0.365064771552777
000539.SZ,0.3859101639119457
000541.SZ,0.41693010819706694
000543.SZ,0.4198358714937282
000544.SZ,0.4540910018475497
000545.SZ,0.5353865724265989
000546.SZ,0.5161447459169664
000547.SZ,0.5161887348460067
000548.SZ,0.45649699785534037
000550.SZ,0.4653305848993095
000552.SZ,0.48777181767863603
000554.SZ,0.4632692638525433
000555.SZ,0.4869165250153936
000553.SZ,0.4744843473102681
000551.SZ,0.4600396690730596
000557.SZ,0.5305579145499091
000558.SZ,0.5411291768112356
000559.SZ,0.4726128850598744
000560.SZ,0.5072313301632662
000561.SZ,0.4809916190244089
000564.SZ,0.5004878199746654
000565.SZ,0.5177577481589146
000563.SZ,0.49732013280159165
000566.SZ,0.4969034249565432
000567.SZ,0.5259171829168523
