ts_code,grossprofit_margin
002305.SZ,-123.4993
002304.SZ,75.5944
002307.SZ,17.7829
002309.SZ,7.1921
002310.SZ,24.9377
002311.SZ,11.7331
002312.SZ,12.0268
002316.SZ,13.6234
002314.SZ,21.9707
002313.SZ,17.3135
002317.SZ,56.5844
002315.SZ,80.4855
002319.SZ,18.6551
002318.SZ,28.0825
002320.SZ,45.9378
002322.SZ,68.15
002321.SZ,9.2145
002324.SZ,14.6136
002323.SZ,9.2261
002326.SZ,18.3446
002327.SZ,54.4686
002328.SZ,10.38
002329.SZ,27.6275
002330.SZ,11.1268
002332.SZ,55.3627
002331.SZ,22.6895
002333.SZ,12.6852
002334.SZ,32.663
002335.SZ,30.1441
002337.SZ,24.6056
002340.SZ,13.0801
002342.SZ,18.7986
002338.SZ,35.4408
002339.SZ,23.3118
002343.SZ,5.2525
002344.SZ,33.8618
002346.SZ,27.5473
002345.SZ,22.9317
002350.SZ,22.7724
002348.SZ,20.0909
002349.SZ,51.8265
002351.SZ,40.9438
002347.SZ,14.0921
002352.SZ,13.2974
002353.SZ,32.1912
002356.SZ,13.6525
002354.SZ,18.1426
002355.SZ,12.6077
002357.SZ,18.4691
002358.SZ,21.9166
002360.SZ,38.9255
002361.SZ,12.0974
002362.SZ,44.273
002363.SZ,9.359
002364.SZ,24.6035
002366.SZ,22.3444
002367.SZ,30.1166
002368.SZ,28.2044
002365.SZ,9.7135
002369.SZ,4.0391
002370.SZ,31.3511
002371.SZ,43.0157
002373.SZ,29.7281
002372.SZ,40.4516
002374.SZ,15.626
002376.SZ,26.7521
002375.SZ,12.5646
002377.SZ,1.7612
002378.SZ,13.7951
002380.SZ,39.1824
002379.SZ,0.1345
002381.SZ,15.8934
002382.SZ,17.1669
002383.SZ,37.4295
002384.SZ,14.1327
002385.SZ,13.8483
002386.SZ,6.1395
002388.SZ,12.0921
002389.SZ,18.0185
002387.SZ,0.7103
002390.SZ,16.0827
002391.SZ,14.6363
002392.SZ,15.9704
002393.SZ,58.0138
002397.SZ,42.5064
002394.SZ,18.0001
002396.SZ,33.4922
002398.SZ,21.513
002395.SZ,19.5566
002399.SZ,27.3396
002400.SZ,6.7347
002401.SZ,12.4408
002402.SZ,19.5272
002404.SZ,11.5094
002403.SZ,32.3847
002405.SZ,35.9109
002406.SZ,24.9568
002407.SZ,13.4697
002408.SZ,5.2477
002409.SZ,28.4996
002413.SZ,32.8103
002412.SZ,76.5894
002410.SZ,89.3062
002415.SZ,45.1923
002414.SZ,52.1631
002416.SZ,5.125
002418.SZ,8.7676
002419.SZ,36.2475
002422.SZ,48.6692
002420.SZ,13.2425
002421.SZ,26.8335
002423.SZ,52.9715
002424.SZ,51.0522
002425.SZ,15.7003
002426.SZ,16.878
002427.SZ,9.4159
002428.SZ,25.2174
002432.SZ,70.4593
002431.SZ,5.527
002429.SZ,18.3351
002430.SZ,21.4547
002434.SZ,17.796
002437.SZ,48.9099
002436.SZ,17.1966
002438.SZ,33.2704
002440.SZ,18.0995
002439.SZ,58.7861
002442.SZ,9.3895
002441.SZ,12.8158
002443.SZ,11.1048
002445.SZ,14.4448
002444.SZ,30.3051
002446.SZ,27.6828
002448.SZ,27.7885
002452.SZ,36.7148
002451.SZ,6.7752
002449.SZ,12.0923
002453.SZ,3.8779
002454.SZ,18.441
002456.SZ,10.3567
002458.SZ,12.1393
002455.SZ,9.4662
002459.SZ,-6.714
002457.SZ,26.4392
002460.SZ,12.954
002461.SZ,45.002
002462.SZ,6.7791
002465.SZ,27.3632
002466.SZ,44.3146
002468.SZ,5.6737
002467.SZ,45.0126
002463.SZ,32.7549
002469.SZ,20.6361
002470.SZ,11.9308
002471.SZ,10.4568
002474.SZ,23.5375
002478.SZ,15.326
002472.SZ,26.8206
002476.SZ,19.7454
002475.SZ,11.1793
002479.SZ,15.2944
002480.SZ,39.8446
002481.SZ,16.7322
002485.SZ,3.6246
002483.SZ,20.8083
002484.SZ,24.3239
002482.SZ,6.1725
002486.SZ,21.5792
002487.SZ,30.9536
002488.SZ,12.0694
002489.SZ,21.7264
002491.SZ,18.8309
002490.SZ,9.3329
002492.SZ,40.3884
002493.SZ,13.9464
002495.SZ,27.694
002494.SZ,32.8149
002496.SZ,13.935
002497.SZ,18.2201
002498.SZ,13.5544
002500.SZ,
002501.SZ,3.2674
002507.SZ,55.9566
002506.SZ,3.4184
002508.SZ,52.7225
002510.SZ,13.0239
002511.SZ,30.8464
002512.SZ,9.747
002513.SZ,2.3606
002514.SZ,16.2508
002516.SZ,24.3996
002517.SZ,83.5716
002515.SZ,28.5765
002518.SZ,29.3703
002519.SZ,20.1868
002520.SZ,14.9832
002521.SZ,9.7538
002522.SZ,17.2195
002523.SZ,21.9213
002524.SZ,37.6083
002526.SZ,19.5463
002527.SZ,16.9588
002528.SZ,35.2421
002529.SZ,-3.9354
002530.SZ,33.4921
002531.SZ,23.4789
002532.SZ,20.1925
002534.SZ,21.0031
002533.SZ,10.3228
002535.SZ,21.8161
002536.SZ,25.5196
002537.SZ,12.9046
002538.SZ,11.4124
002539.SZ,11.6931
002542.SZ,3.7602
002540.SZ,11.6773
002541.SZ,9.8331
002543.SZ,29.8785
002544.SZ,13.9597
002545.SZ,41.6137
002546.SZ,36.8934
002548.SZ,7.5137
002547.SZ,5.199
002550.SZ,54.3955
002549.SZ,36.1146
002551.SZ,15.2719
002552.SZ,14.4732
002553.SZ,33.4791
002554.SZ,4.968
300246.SZ,27.3926
300245.SZ,24.4519
300247.SZ,34.02
300248.SZ,53.3186
300251.SZ,78.3191
300249.SZ,17.156
300250.SZ,60.2258
300252.SZ,18.9433
300253.SZ,34.4608
300254.SZ,69.5092
300255.SZ,23.1003
300256.SZ,8.7421
300257.SZ,35.0512
300259.SZ,44.3258
300258.SZ,24.2775
300260.SZ,23.8155
300261.SZ,20.8076
300264.SZ,25.1617
300263.SZ,21.8035
300265.SZ,19.3478
300268.SZ,-7.9788
300267.SZ,26.135
300266.SZ,11.1538
300269.SZ,28.5614
300271.SZ,30.119
300270.SZ,30.2177
300272.SZ,41.1264
300275.SZ,45.5788
300276.SZ,14.7643
300274.SZ,35.134
300277.SZ,19.4855
300278.SZ,16.3956
300280.SZ,3.9614
300279.SZ,16.743
300284.SZ,31.8705
300285.SZ,36.774
300281.SZ,16.4162
300283.SZ,8.5465
300286.SZ,47.5008
300287.SZ,12.2781
300289.SZ,53.5641
300288.SZ,35.1055
300290.SZ,33.9106
300291.SZ,13.417
300293.SZ,29.2357
300294.SZ,53.8016
300292.SZ,10.0499
300295.SZ,75.3714
300296.SZ,26.5178
300300.SZ,0.4923
300298.SZ,48.6928
300301.SZ,23.7342
300299.SZ,46.3628
300302.SZ,41.8621
300303.SZ,22.7258
300304.SZ,32.0287
300305.SZ,-8.7972
300310.SZ,7.5721
300306.SZ,66.81
300307.SZ,30.6571
300308.SZ,36.701
300313.SZ,11.4254
300311.SZ,47.3614
300314.SZ,57.1277
300315.SZ,75.7413
300317.SZ,25.8616
300320.SZ,17.5035
300319.SZ,16.4931
300318.SZ,38.3722
300316.SZ,27.5669
300321.SZ,15.5046
300322.SZ,24.6986
300323.SZ,5.8344
300324.SZ,12.9038
300326.SZ,50.1727
300328.SZ,11.973
300327.SZ,32.0857
300329.SZ,13.1514
300331.SZ,20.8902
300332.SZ,15.8452
300333.SZ,53.7153
300334.SZ,36.7338
300335.SZ,29.3158
300340.SZ,10.1377
300339.SZ,22.5419
300338.SZ,47.3203
300337.SZ,8.6042
300341.SZ,41.7674
300344.SZ,7.7225
300343.SZ,13.7965
300345.SZ,0.8025
300342.SZ,20.0186
300347.SZ,30.0331
300348.SZ,35.0176
300349.SZ,35.1696
300346.SZ,40.8545
300352.SZ,54.0624
300351.SZ,23.7168
300350.SZ,8.1195
300353.SZ,39.5035
300354.SZ,68.6551
300357.SZ,94.7607
300358.SZ,29.7604
300355.SZ,31.8217
300359.SZ,18.0338
300360.SZ,42.5209
300364.SZ,29.8095
300365.SZ,17.4548
300363.SZ,26.3307
300366.SZ,11.8378
300368.SZ,25.9874
300369.SZ,55.7346
300370.SZ,23.3487
300371.SZ,47.6022
300374.SZ,1.328
300375.SZ,19.4016
300373.SZ,34.603
300376.SZ,32.644
300377.SZ,31.9419
300378.SZ,59.677
300381.SZ,47.195
300379.SZ,69.3003
300380.SZ,34.292
300382.SZ,18.9706
300383.SZ,15.1371
300384.SZ,45.9349
300385.SZ,-11.391
300386.SZ,38.4663
300387.SZ,25.3893
300388.SZ,31.8691
300389.SZ,30.8063
300390.SZ,6.3604
300391.SZ,-1.6447
300393.SZ,1.59
300394.SZ,53.0451
300395.SZ,49.9553
300396.SZ,42.7768
300397.SZ,23.5133
300398.SZ,35.1135
300399.SZ,2.3768
300400.SZ,34.7337
300401.SZ,56.8033
300402.SZ,20.2615
300403.SZ,33.6211
300405.SZ,5.376
300404.SZ,30.6012
300407.SZ,23.0464
300406.SZ,80.8403
300408.SZ,41.0123
300409.SZ,15.95
300410.SZ,32.6857
300411.SZ,23.5011
300413.SZ,26.4344
300412.SZ,23.0333
300414.SZ,24.1272
300415.SZ,30.6406
300416.SZ,41.8836
300417.SZ,51.3156
300418.SZ,69.0093
300419.SZ,41.0642
300421.SZ,17.1297
300420.SZ,27.0725
300422.SZ,25.5805
300423.SZ,13.9975
300426.SZ,22.7672
300424.SZ,27.9003
300425.SZ,24.4577
300427.SZ,44.5164
300428.SZ,8.8333
300432.SZ,10.1233
