ts_code,amihud
002372.SZ,1.063254671456339e-14
002374.SZ,7.050214888220449e-14
002376.SZ,2.9644022600640544e-14
002375.SZ,3.7410912821905356e-14
002377.SZ,7.524985278539904e-14
002378.SZ,1.9368162402504116e-14
002380.SZ,3.392736879770627e-14
002379.SZ,1.177922938981502e-14
002381.SZ,6.229879348671653e-14
002382.SZ,3.264952517352927e-14
002383.SZ,3.003348528785433e-14
002384.SZ,2.506563013962532e-15
002385.SZ,1.0548670666173664e-14
002386.SZ,2.7657689338071546e-14
002388.SZ,1.0103161095767319e-13
002389.SZ,8.887287666006792e-15
002387.SZ,1.6353076271106233e-14
002390.SZ,2.823609577115302e-14
002391.SZ,3.9176399844943004e-14
002392.SZ,2.364417094971676e-14
002393.SZ,2.456400566819776e-14
002397.SZ,7.503855108354408e-14
002394.SZ,4.5027465208283696e-14
002396.SZ,1.3257340413078865e-14
002398.SZ,5.085024037421385e-14
002395.SZ,4.4683754949507996e-14
002399.SZ,8.598484437188187e-15
002400.SZ,1.699514192450433e-14
002401.SZ,3.230834808047108e-14
002402.SZ,9.306060170032225e-15
002404.SZ,4.872190174598524e-14
002403.SZ,3.510826924005716e-14
002405.SZ,1.1668855035233633e-14
002406.SZ,3.060509630220401e-14
002407.SZ,1.636830284851708e-14
002408.SZ,1.3470510368590234e-14
002409.SZ,8.301575129311279e-15
002413.SZ,2.5890632504077124e-14
002412.SZ,5.022646659583725e-14
002410.SZ,1.0042687745796851e-14
002415.SZ,6.791024977821319e-16
002414.SZ,3.724575863633847e-15
002416.SZ,1.445379634262296e-14
002418.SZ,5.150951632143217e-14
002419.SZ,2.6372711579211085e-14
002422.SZ,2.9916744906176425e-15
002420.SZ,6.762537998750835e-14
002421.SZ,2.875078986639903e-14
002423.SZ,7.551420429004636e-15
002424.SZ,2.2834849440700887e-14
002425.SZ,7.072328854665663e-14
002426.SZ,2.095851179324436e-14
002427.SZ,3.103551613060912e-14
002428.SZ,1.572809456106741e-14
002432.SZ,1.2654822584072136e-14
002431.SZ,4.978665451440885e-14
002429.SZ,9.598561383611145e-15
002430.SZ,9.35172702370446e-15
002434.SZ,1.7927251279433612e-14
002437.SZ,2.4823961550516575e-14
002436.SZ,8.137522133339753e-15
002438.SZ,2.716109833722923e-14
002440.SZ,2.010105850639331e-14
002439.SZ,1.1440472876775065e-14
002442.SZ,6.295701644048916e-14
002441.SZ,3.683923873765447e-14
002443.SZ,5.318705633397565e-14
002445.SZ,3.544283347713538e-14
002444.SZ,5.284058073008518e-15
002446.SZ,3.3085257057935216e-14
002448.SZ,3.38833627313816e-14
002452.SZ,4.120670222018597e-14
002451.SZ,7.135829563062274e-14
002449.SZ,3.69715507650402e-14
002453.SZ,4.7219408275997174e-14
002454.SZ,3.764945624688377e-14
002456.SZ,6.194484198351423e-15
002458.SZ,2.209024568081721e-14
002455.SZ,5.319440253110866e-14
002459.SZ,6.361277792967635e-15
002457.SZ,5.105280668601445e-14
002460.SZ,3.4059660125669675e-15
002461.SZ,7.459275774500177e-15
002462.SZ,4.086551884573276e-14
002465.SZ,5.216834513208345e-15
002466.SZ,3.839689777883905e-15
002468.SZ,7.405168870188947e-15
002467.SZ,2.7585161296139718e-14
002463.SZ,2.1974237093993903e-15
002469.SZ,3.580714329760577e-14
002470.SZ,3.285644175293768e-14
002471.SZ,3.0116168250236276e-14
002474.SZ,5.1988367806918403e-14
002478.SZ,3.391819859871712e-14
002472.SZ,6.998893743824319e-15
002476.SZ,7.393605356973757e-14
002475.SZ,8.243670745054466e-16
002479.SZ,3.8063820304303856e-14
002480.SZ,3.633659680040795e-14
002481.SZ,2.956329939213314e-14
002485.SZ,8.050570158316453e-14
002483.SZ,3.0761683233588933e-14
002484.SZ,9.832631672306513e-15
002482.SZ,3.151160723609507e-14
002486.SZ,9.177190653711629e-14
002487.SZ,1.070609668521333e-14
002488.SZ,1.7135282560757853e-14
002489.SZ,2.2993265845323127e-14
002491.SZ,3.386358621892224e-14
002490.SZ,4.621848981082079e-14
002492.SZ,6.935706035220213e-14
002493.SZ,2.0526759240690877e-15
002495.SZ,7.432194604281726e-14
002494.SZ,1.0604420988823138e-13
002496.SZ,8.58528538473572e-14
002497.SZ,1.389694464911405e-14
002498.SZ,1.5334407554809498e-14
002500.SZ,7.565515335971572e-15
002501.SZ,2.9819924064080276e-14
002507.SZ,1.201174138421898e-14
002506.SZ,1.4689269909303798e-14
002508.SZ,9.926945051497294e-15
002510.SZ,3.223976705025373e-14
002511.SZ,1.749635372705381e-14
002512.SZ,5.19546064059408e-14
002513.SZ,1.0848121770207311e-13
002514.SZ,5.785342479533953e-14
002516.SZ,2.4195211486846358e-14
002517.SZ,5.910804547651072e-15
002515.SZ,2.1940694061621797e-14
002518.SZ,1.7006964065817296e-14
002519.SZ,3.380346955486048e-14
002520.SZ,4.5124779301260595e-14
002521.SZ,3.182764811975814e-14
002522.SZ,4.42270601727414e-14
002523.SZ,3.4039725561656366e-14
002524.SZ,9.543899208596346e-14
002526.SZ,3.0101528062198926e-14
002527.SZ,1.8153784529625075e-14
002528.SZ,6.839211272260215e-14
002529.SZ,1.548591401997595e-13
002530.SZ,2.922826192877951e-14
002531.SZ,1.7729113128607147e-14
002532.SZ,4.657124401523325e-15
002534.SZ,2.0318154034346814e-14
002533.SZ,2.1410828579275677e-14
002535.SZ,6.347890658530312e-14
002536.SZ,1.766074892371741e-14
002537.SZ,1.913185841975554e-14
002538.SZ,3.882154132712887e-14
002539.SZ,1.488578038260063e-14
002542.SZ,3.1338058397086615e-14
002540.SZ,2.3696796635387715e-14
002541.SZ,1.6719151806733093e-14
002543.SZ,1.6209223875301625e-14
002544.SZ,1.3237249025622501e-14
002545.SZ,1.4215375269878345e-14
002546.SZ,3.6903871352151146e-14
002548.SZ,6.14098706021062e-14
002547.SZ,4.776384589350557e-14
002550.SZ,1.3758703385180989e-14
002549.SZ,2.693416649101691e-14
002551.SZ,5.5536846722133316e-14
002552.SZ,3.553425064314295e-14
002553.SZ,2.510830859038518e-14
002554.SZ,5.446421137117177e-14
300246.SZ,9.331316630690796e-14
300245.SZ,4.794302968210468e-14
300247.SZ,5.959967909814074e-14
300248.SZ,3.9383377700805597e-14
300251.SZ,3.921694225537631e-15
300249.SZ,3.5150232261699465e-14
300250.SZ,7.733367980745796e-14
300252.SZ,3.17270029555754e-14
300253.SZ,1.0733867511889344e-14
300254.SZ,7.946120593241832e-14
300255.SZ,6.203607750850526e-15
300256.SZ,2.925342066994568e-14
300257.SZ,1.379014703304345e-14
300259.SZ,4.853245060565902e-14
300258.SZ,2.5432905642813204e-14
300260.SZ,1.9205313480887824e-14
300261.SZ,3.161343615322686e-14
300264.SZ,9.68899059725581e-14
300263.SZ,2.9922623007759755e-14
300265.SZ,5.2865515274031724e-14
300268.SZ,1.4686602877550762e-13
300267.SZ,2.634644235253041e-14
300266.SZ,5.6568888846733196e-14
300269.SZ,9.276358780909086e-14
300271.SZ,3.4931682377530404e-14
300270.SZ,9.765026448546702e-14
300272.SZ,5.72116933714985e-14
300275.SZ,5.680033909338628e-14
300276.SZ,1.7411482794830903e-14
300274.SZ,1.5508673379562539e-15
300277.SZ,6.03035956973651e-14
300278.SZ,3.373501202065886e-14
300280.SZ,5.630564963725796e-13
300279.SZ,6.560418418999053e-14
300284.SZ,1.7320240769597572e-14
300285.SZ,1.1433989896640082e-14
300281.SZ,6.769178832386943e-14
300283.SZ,6.982098916125653e-14
300286.SZ,4.293898897394333e-14
300287.SZ,3.4072443096250265e-14
300289.SZ,3.480048482484395e-14
300288.SZ,4.872542828096293e-14
300290.SZ,2.380826808009564e-14
300291.SZ,4.205380302343714e-14
300293.SZ,3.145260589985881e-14
300294.SZ,1.4402662700881745e-14
300292.SZ,3.927400284011991e-14
300295.SZ,9.28016756458102e-14
300296.SZ,1.3508319454605102e-14
300300.SZ,7.039740536994794e-14
300298.SZ,1.944632765122693e-14
300301.SZ,1.2431413110123902e-13
300299.SZ,5.741717310952002e-14
300302.SZ,3.819588455302333e-14
300303.SZ,2.5252412714395867e-14
300304.SZ,2.4422667849241718e-14
300305.SZ,7.865776930906632e-14
300310.SZ,4.617597530855545e-14
300306.SZ,6.315612738684267e-14
300307.SZ,3.5401884262790546e-14
300308.SZ,1.1162948798758202e-15
300313.SZ,8.741433202620283e-14
300311.SZ,8.268536561539347e-14
300314.SZ,5.970894859348777e-14
300315.SZ,1.5503173951077787e-14
300317.SZ,7.671716488123313e-14
300320.SZ,3.883810694540349e-14
300319.SZ,2.3992746289615856e-14
300318.SZ,4.651593297790568e-14
300316.SZ,6.4904612294161845e-15
300321.SZ,7.590883081745494e-14
300322.SZ,2.1546528788797507e-14
300323.SZ,2.1136702063041847e-14
300324.SZ,3.14431457161682e-14
300326.SZ,4.9337450990679134e-14
300328.SZ,3.199596882619057e-14
300327.SZ,2.7951278072935918e-14
300329.SZ,7.633942239227235e-14
300331.SZ,4.571261385693568e-14
300332.SZ,4.72501690827458e-14
300333.SZ,5.6114387785934906e-14
300334.SZ,1.1200278618518803e-13
300335.SZ,7.267599975835113e-14
300340.SZ,5.770224270439156e-14
300339.SZ,6.730405039058127e-15
300338.SZ,1.7794831395434182e-13
300337.SZ,2.8872056162397345e-14
300341.SZ,2.877300673826228e-14
300344.SZ,7.423828681526635e-14
300343.SZ,5.3366507429958244e-14
300345.SZ,5.77742926889267e-14
300342.SZ,3.0198716346104434e-14
300347.SZ,4.363122704587946e-15
300348.SZ,2.116431705957082e-14
300349.SZ,3.781817541721903e-14
300346.SZ,1.1102898919957414e-14
300352.SZ,3.30243324180705e-14
300351.SZ,3.7048926736544005e-14
300350.SZ,7.237736770838783e-14
300353.SZ,2.0001863285724368e-14
300354.SZ,4.5296781958624617e-14
300357.SZ,1.565063083003669e-14
300358.SZ,4.545909139327913e-14
300355.SZ,3.3890808046628963e-14
300359.SZ,6.732540843867251e-14
300360.SZ,2.5686775945802273e-14
300364.SZ,1.786780969536323e-14
300365.SZ,5.954637256299306e-14
300363.SZ,2.1210582006306108e-14
300366.SZ,5.945353390654484e-14
300368.SZ,3.957786703184858e-14
300369.SZ,4.1122989110029414e-14
300370.SZ,5.4142017837556986e-14
300371.SZ,8.440972015966935e-14
300374.SZ,6.301242020634586e-14
300375.SZ,5.87476459773032e-14
300373.SZ,7.996845979649947e-15
300376.SZ,2.55525192204966e-14
300377.SZ,1.6030837190458e-14
300378.SZ,1.8915706108774796e-14
300381.SZ,5.536332470818732e-14
300379.SZ,1.0039956820330461e-13
300380.SZ,4.4161069975887496e-14
300382.SZ,2.571783653815726e-14
300383.SZ,9.528648905684481e-15
300384.SZ,3.905120618378905e-14
300385.SZ,1.1694784036913183e-13
300386.SZ,3.5216508650531165e-14
300387.SZ,7.66982541053121e-14
300388.SZ,3.581176915437181e-14
300389.SZ,5.5322341507612333e-14
300390.SZ,1.624042713222026e-14
300391.SZ,1.8316735274655296e-13
300393.SZ,3.829850841087082e-14
300394.SZ,3.720875525634969e-15
300395.SZ,6.301934704115399e-15
300396.SZ,5.059615623990022e-14
300397.SZ,3.4331562835854454e-14
300398.SZ,2.2398246833699316e-14
300399.SZ,4.675020379415203e-14
300400.SZ,4.9708936909018267e-14
300401.SZ,2.5932893087738864e-14
300402.SZ,5.58560220678032e-14
300403.SZ,2.5077724168722083e-14
300405.SZ,1.3361519175506603e-13
300404.SZ,6.000236133128787e-14
300407.SZ,6.403720870080399e-14
300406.SZ,2.4399126422892174e-14
300408.SZ,2.9549965685314154e-15
300409.SZ,1.8830330881122676e-14
300410.SZ,8.955193786400688e-14
300411.SZ,4.686751743181244e-14
300413.SZ,6.441419322434739e-15
300412.SZ,9.029739021253781e-14
300414.SZ,5.531856161711321e-14
300415.SZ,2.3962359765622752e-14
300416.SZ,2.89329022282243e-14
300417.SZ,1.3509396646400966e-13
300418.SZ,6.3534194648565834e-15
300419.SZ,1.1574731680856207e-13
300421.SZ,5.0904620668246115e-14
300420.SZ,5.0622236800519245e-14
300422.SZ,7.727674618913428e-14
300423.SZ,7.266370949503849e-14
300426.SZ,6.01805757547049e-14
300424.SZ,5.748936500838691e-14
300425.SZ,5.6778048158746175e-14
300427.SZ,7.088420899578685e-14
300428.SZ,2.3102922556635033e-14
300432.SZ,1.2832182896863701e-14
300430.SZ,4.341124622913464e-14
300429.SZ,3.303296334641045e-14
300434.SZ,5.757300394935699e-14
300435.SZ,3.535525733215442e-14
300436.SZ,1.3743653425447018e-14
300433.SZ,1.988883469519497e-15
300437.SZ,1.0831426838757713e-13
300438.SZ,2.1237674629592705e-14
300439.SZ,4.549240508250679e-14
300440.SZ,3.888480338897547e-14
300441.SZ,3.8144812163822814e-14
300442.SZ,2.8905219478941775e-15
300443.SZ,3.558699399351985e-14
300444.SZ,4.530449041970049e-14
300445.SZ,5.70257515075882e-14
300446.SZ,1.5745763722259548e-14
300447.SZ,4.9786231522378294e-14
300449.SZ,8.78440941305634e-14
300448.SZ,5.4440858614536803e-14
300450.SZ,6.481448485536808e-15
300452.SZ,7.075246084488549e-14
300451.SZ,3.171103425692485e-14
300454.SZ,5.347046592400747e-15
300453.SZ,4.7314554683914343e-14
300455.SZ,1.7527976351923267e-14
300456.SZ,1.848020658661054e-14
300457.SZ,1.7876376117218604e-14
300458.SZ,8.760034053753688e-15
300459.SZ,1.4542116907931988e-14
300460.SZ,8.947839020176454e-14
300461.SZ,8.618230857513499e-14
300462.SZ,1.5447894956695415e-13
300463.SZ,2.6942521604066174e-14
300464.SZ,1.0836616804479714e-13
300465.SZ,4.4464907797204334e-14
300466.SZ,5.168262500778632e-14
300467.SZ,5.916330214282636e-14
300468.SZ,1.4016405534148403e-14
300469.SZ,2.706027911555228e-14
300471.SZ,5.889600609528631e-14
300470.SZ,2.3949931646896138e-14
300473.SZ,5.0536818440802395e-14
300472.SZ,1.6745927315731775e-13
300474.SZ,6.229074051775405e-15
300475.SZ,1.5744911661152772e-14
300476.SZ,1.6105054156019226e-15
300477.SZ,1.173115771623567e-13
300478.SZ,1.0762228475332302e-13
300479.SZ,6.665586884336e-14
300480.SZ,4.591275768766152e-14
300481.SZ,5.228521603716736e-14
300482.SZ,1.9285884305406845e-14
300483.SZ,6.930371109938882e-14
300484.SZ,6.039636994858004e-14
300485.SZ,3.1315034593751405e-14
300486.SZ,3.810337218643683e-14
300488.SZ,3.768245561051904e-14
300487.SZ,9.896896787854982e-15
300489.SZ,4.534566539849573e-14
300490.SZ,7.027937398926063e-14
300491.SZ,7.847865244934536e-14
300492.SZ,1.986128573028701e-14
300493.SZ,2.6080564058311633e-14
300494.SZ,3.970000067103895e-14
300497.SZ,3.951135099221517e-14
300496.SZ,1.0122440726295739e-14
300498.SZ,1.326689117302849e-15
300499.SZ,4.208299718913918e-14
300500.SZ,9.474579435083136e-14
300501.SZ,6.983956404052314e-14
300502.SZ,1.6363063351139019e-15
300503.SZ,3.478666097186673e-14
300505.SZ,4.3482469340147474e-14
300506.SZ,9.302344849281687e-14
300508.SZ,7.629382259146453e-14
300507.SZ,4.036375266354863e-14
300509.SZ,7.496757926881105e-14
300504.SZ,5.4263742834311393e-14
300511.SZ,5.813092147264717e-14
300510.SZ,5.472578804750265e-14
600081.SH,2.944756381094951e-14
600079.SH,5.529267131189784e-15
600080.SH,6.513780971922743e-14
600082.SH,8.347689915325082e-14
600085.SH,3.180784401764405e-15
600088.SH,3.4486842782516855e-14
600084.SH,3.046579261150841e-14
600089.SH,2.575607288132382e-15
600096.SH,4.310176766275683e-15
600094.SH,2.5266828435237365e-14
600097.SH,7.194296301900247e-14
