ts_code,turnover_rate
002303.SZ,6.4291
002306.SZ,1.9103
002305.SZ,4.9777
002304.SZ,0.2303
002307.SZ,12.6447
002309.SZ,2.4481
002310.SZ,0.5267
002311.SZ,0.2812
002312.SZ,0.9886
002316.SZ,2.2789
002314.SZ,1.9463
002313.SZ,34.5411
002317.SZ,12.6418
002315.SZ,4.7533
002319.SZ,3.2738
002318.SZ,1.0972
002320.SZ,2.0959
002322.SZ,0.7267
002321.SZ,1.6268
002324.SZ,3.1476
002323.SZ,1.4637
002326.SZ,9.1656
002327.SZ,1.0638
002328.SZ,3.0955
002329.SZ,3.4152
002330.SZ,4.5359
002332.SZ,2.8463
002331.SZ,25.0245
002333.SZ,1.5166
002334.SZ,3.6258
002335.SZ,8.6068
002337.SZ,1.6868
002340.SZ,1.1818
002342.SZ,19.161
002338.SZ,3.6968
002339.SZ,3.4492
002343.SZ,6.4078
002344.SZ,0.9779
002346.SZ,3.8521
002345.SZ,3.4024
002350.SZ,3.2619
002348.SZ,2.4849
002349.SZ,1.5015
002351.SZ,2.4144
002347.SZ,2.6313
002352.SZ,0.3831
002353.SZ,3.6866
002356.SZ,1.7573
002354.SZ,32.1375
002355.SZ,3.8739
002357.SZ,3.8982
002358.SZ,1.4932
002360.SZ,3.2093
002361.SZ,9.8296
002362.SZ,11.4193
002363.SZ,3.248
002364.SZ,6.3775
002366.SZ,7.6027
002367.SZ,1.0358
002368.SZ,3.108
002365.SZ,13.045
002369.SZ,6.417
002370.SZ,22.2426
002371.SZ,0.5036
002373.SZ,3.8101
002372.SZ,0.3967
002374.SZ,1.29
002376.SZ,6.8481
002375.SZ,0.8194
002377.SZ,13.6622
002378.SZ,3.6829
002380.SZ,4.5752
002379.SZ,1.8751
002381.SZ,2.1653
002382.SZ,2.1715
002383.SZ,8.4253
002384.SZ,3.1274
002385.SZ,2.5387
002386.SZ,2.6641
002388.SZ,3.0236
002389.SZ,4.6462
002387.SZ,0.9519
002390.SZ,1.0792
002391.SZ,1.9586
002392.SZ,1.0107
002393.SZ,3.2581
002397.SZ,1.7918
002394.SZ,3.3587
002396.SZ,2.2153
002398.SZ,5.8143
002395.SZ,1.6988
002399.SZ,0.3478
002400.SZ,2.9249
002401.SZ,5.2982
002402.SZ,6.4307
002404.SZ,1.6631
002403.SZ,7.7089
002405.SZ,1.3793
002406.SZ,7.4765
002407.SZ,1.772
002408.SZ,0.4803
002409.SZ,2.0557
002413.SZ,6.4885
002412.SZ,1.8407
002410.SZ,3.0846
002415.SZ,0.5623
002414.SZ,5.2177
002416.SZ,1.7147
002418.SZ,4.6985
002419.SZ,1.3537
002422.SZ,0.8089
002420.SZ,5.9711
002421.SZ,2.4048
002423.SZ,0.7217
002424.SZ,6.4889
002425.SZ,2.1419
002426.SZ,3.0699
002427.SZ,3.3606
002428.SZ,9.9802
002432.SZ,2.8779
002431.SZ,1.3857
002429.SZ,0.557
002430.SZ,0.9608
002434.SZ,4.0178
002437.SZ,7.5877
002436.SZ,6.7825
002438.SZ,3.7094
002440.SZ,0.8195
002439.SZ,3.7632
002442.SZ,2.2305
002441.SZ,1.6578
002443.SZ,3.1316
002445.SZ,1.2022
002444.SZ,0.8189
002446.SZ,6.6296
002448.SZ,3.2631
002452.SZ,1.8604
002451.SZ,1.5289
002449.SZ,1.8918
002453.SZ,3.3011
002454.SZ,1.9544
002456.SZ,2.2929
002458.SZ,2.8621
002455.SZ,1.8807
002459.SZ,1.2195
002457.SZ,4.6602
002460.SZ,3.9514
002461.SZ,0.6521
002462.SZ,3.0241
002465.SZ,4.4398
002466.SZ,5.5711
002468.SZ,3.4494
002467.SZ,6.1257
002463.SZ,2.1722
002469.SZ,1.6002
002470.SZ,1.1522
002471.SZ,19.9966
002474.SZ,4.3477
002478.SZ,1.4837
002472.SZ,2.5599
002476.SZ,3.4227
002475.SZ,1.0261
002479.SZ,1.5358
002480.SZ,2.1831
002481.SZ,0.8336
002485.SZ,0.7138
002483.SZ,2.3313
002484.SZ,6.0487
002482.SZ,0.669
002486.SZ,4.1515
002487.SZ,1.9449
002488.SZ,0.4562
002489.SZ,1.1135
002491.SZ,3.663
002490.SZ,17.0262
002492.SZ,5.5917
002493.SZ,0.1291
002495.SZ,3.4637
002494.SZ,2.8178
002496.SZ,1.3118
002497.SZ,9.8125
002498.SZ,0.9455
002500.SZ,0.5698
002501.SZ,1.3354
002507.SZ,0.6953
002506.SZ,1.1931
002508.SZ,0.3
002510.SZ,2.8948
002511.SZ,1.5964
002512.SZ,3.8386
002513.SZ,2.9507
002514.SZ,2.0536
002516.SZ,1.632
002517.SZ,2.7392
002515.SZ,2.1433
002518.SZ,3.2868
002519.SZ,9.0948
002520.SZ,7.5982
002521.SZ,0.6762
002522.SZ,1.8755
002523.SZ,2.1288
002524.SZ,4.1916
002526.SZ,2.2937
002527.SZ,3.0497
002528.SZ,2.6583
002529.SZ,1.6049
002530.SZ,4.5952
002531.SZ,1.3689
002532.SZ,1.0221
002534.SZ,3.8041
002533.SZ,11.3645
002535.SZ,1.7282
002536.SZ,23.7202
002537.SZ,4.3328
002538.SZ,1.1548
002539.SZ,0.906
002542.SZ,10.3593
002540.SZ,1.1787
002541.SZ,0.7242
002543.SZ,4.0076
002544.SZ,2.5675
002545.SZ,1.0174
002546.SZ,4.755
002548.SZ,5.1126
002547.SZ,5.4436
002550.SZ,12.5066
002549.SZ,9.7655
002551.SZ,5.7488
002552.SZ,3.2128
002553.SZ,35.2449
002554.SZ,1.7757
300246.SZ,12.7557
300245.SZ,4.0941
300247.SZ,9.9014
300248.SZ,3.6202
300251.SZ,3.6012
300249.SZ,22.8191
300250.SZ,5.1345
300252.SZ,9.8373
300253.SZ,7.5334
300254.SZ,12.0309
300255.SZ,2.6898
300256.SZ,2.9688
300257.SZ,1.2072
300259.SZ,1.1345
300258.SZ,3.7621
300260.SZ,10.0559
300261.SZ,3.5371
300264.SZ,14.5477
300263.SZ,5.5504
300265.SZ,3.0331
300268.SZ,0.7118
300267.SZ,5.6094
300266.SZ,1.2201
300269.SZ,6.1743
300271.SZ,3.9779
300270.SZ,3.3098
300272.SZ,3.7636
300275.SZ,4.1654
300276.SZ,4.5211
300274.SZ,7.4923
300277.SZ,1.5089
300278.SZ,2.2575
300280.SZ,25.6641
300279.SZ,7.5883
300284.SZ,2.1093
300285.SZ,3.784
300281.SZ,3.8687
300283.SZ,8.5842
300286.SZ,1.2627
300287.SZ,5.0915
300289.SZ,32.9156
300288.SZ,6.7476
300290.SZ,3.8787
300291.SZ,2.8962
300293.SZ,9.4584
300294.SZ,0.9658
300292.SZ,2.4199
300295.SZ,2.7437
300296.SZ,3.1162
300300.SZ,2.9378
300298.SZ,2.559
300301.SZ,1.1049
300299.SZ,5.8322
300302.SZ,3.4346
300303.SZ,1.3278
300304.SZ,6.8599
300305.SZ,2.3679
300310.SZ,3.4032
300306.SZ,4.3276
300307.SZ,2.2674
300308.SZ,2.9603
300313.SZ,6.9847
300311.SZ,3.5531
300314.SZ,9.2045
300315.SZ,16.1927
300317.SZ,2.3387
300320.SZ,1.1663
300319.SZ,5.5159
300318.SZ,1.422
300316.SZ,0.8991
300321.SZ,2.9532
300322.SZ,37.9826
300323.SZ,2.047
300324.SZ,9.7329
300326.SZ,1.9207
300328.SZ,5.5367
300327.SZ,4.3007
300329.SZ,10.0825
300331.SZ,5.0086
300332.SZ,3.685
300333.SZ,7.7602
300334.SZ,1.706
300335.SZ,13.6024
300340.SZ,18.0247
300339.SZ,4.0737
300338.SZ,1.4886
300337.SZ,1.6479
300341.SZ,1.7422
300344.SZ,8.0584
300343.SZ,0.9687
300345.SZ,2.7441
300342.SZ,17.5017
300347.SZ,1.3862
300348.SZ,8.2927
300349.SZ,1.2161
300346.SZ,3.1358
300352.SZ,3.0753
300351.SZ,10.4446
300350.SZ,11.3521
300353.SZ,6.4974
300354.SZ,3.3058
300357.SZ,3.4343
300358.SZ,3.1933
300355.SZ,3.2355
300359.SZ,2.22
300360.SZ,1.1756
300364.SZ,6.018
300365.SZ,4.7053
300363.SZ,3.9038
300366.SZ,8.8722
300368.SZ,27.6344
300369.SZ,3.0082
300370.SZ,2.8407
300371.SZ,3.7765
300374.SZ,10.014
300375.SZ,3.0714
300373.SZ,3.2582
300376.SZ,0.7292
300377.SZ,3.8172
300378.SZ,18.9074
300381.SZ,2.0271
300379.SZ,8.3411
300380.SZ,3.9938
300382.SZ,3.3472
300383.SZ,2.3786
300384.SZ,3.4987
300385.SZ,1.8733
300386.SZ,4.6832
300387.SZ,2.164
300388.SZ,5.7706
300389.SZ,1.3888
300390.SZ,3.0919
300391.SZ,1.5226
300393.SZ,1.5054
300394.SZ,2.6169
300395.SZ,3.2707
300396.SZ,5.3923
300397.SZ,10.263
300398.SZ,6.6411
300399.SZ,9.5462
300400.SZ,18.3754
300401.SZ,2.7063
300402.SZ,2.6004
300403.SZ,6.7048
300405.SZ,6.9749
300404.SZ,7.933
300407.SZ,4.6361
300406.SZ,1.5312
300408.SZ,0.5603
300409.SZ,9.6771
300410.SZ,8.3597
300411.SZ,12.3121
300413.SZ,1.4807
300412.SZ,5.6542
300414.SZ,10.0076
300415.SZ,3.0694
300416.SZ,4.7821
300417.SZ,3.6259
300418.SZ,4.4584
300419.SZ,3.7441
300421.SZ,9.288
300420.SZ,5.8779
300422.SZ,2.0727
300423.SZ,1.9099
300426.SZ,2.7409
300424.SZ,4.2817
300425.SZ,1.053
300427.SZ,4.437
300428.SZ,2.1375
300432.SZ,2.3071
300430.SZ,21.9848
300429.SZ,4.9367
300434.SZ,6.0471
300435.SZ,4.4581
300436.SZ,9.9518
300433.SZ,1.4465
300437.SZ,2.5716
300438.SZ,1.7196
300439.SZ,2.7831
300440.SZ,4.1746
300441.SZ,1.5618
300442.SZ,1.5969
300443.SZ,4.8997
300444.SZ,2.8188
300445.SZ,2.0443
300446.SZ,13.8386
300447.SZ,8.8885
300449.SZ,2.6715
300448.SZ,7.6572
300450.SZ,1.2945
300452.SZ,6.7045
300451.SZ,8.8716
300454.SZ,2.151
300453.SZ,5.138
300455.SZ,18.0592
300456.SZ,8.1811
300457.SZ,4.974
300458.SZ,4.01
300459.SZ,5.4668
300460.SZ,3.1642
300461.SZ,2.7254
300462.SZ,2.7376
300463.SZ,2.7533
300464.SZ,3.2529
300465.SZ,2.8647
300466.SZ,3.0015
300467.SZ,4.9635
300468.SZ,13.8715
300469.SZ,2.5134
300471.SZ,2.5282
300470.SZ,2.0063
300473.SZ,2.498
300472.SZ,15.5815
300474.SZ,4.9564
300475.SZ,2.5921
300476.SZ,2.177
300477.SZ,2.7872
300478.SZ,7.4798
300479.SZ,5.7953
300480.SZ,8.3257
300481.SZ,2.2791
300482.SZ,3.5923
300483.SZ,8.1987
300484.SZ,3.6393
300485.SZ,7.1807
300486.SZ,20.0616
300488.SZ,2.9688
300487.SZ,0.5998
300489.SZ,3.4643
300490.SZ,5.7582
300491.SZ,8.0835
300492.SZ,1.2571
300493.SZ,4.3111
300494.SZ,7.7682
300497.SZ,4.7857
300496.SZ,4.0874
300498.SZ,0.6393
300499.SZ,21.3867
300500.SZ,10.2887
300501.SZ,2.9212
300502.SZ,2.959
300503.SZ,4.7036
300505.SZ,6.2417
300506.SZ,0.9472
300508.SZ,2.4402
300507.SZ,2.7684
300509.SZ,2.9263
300504.SZ,1.5961
300511.SZ,4.9112
300510.SZ,7.7012
600081.SH,1.4864
600079.SH,1.0199
600080.SH,2.0249
600082.SH,2.5148
600085.SH,0.4576
600088.SH,1.192
600084.SH,0.7126
600089.SH,1.5617
600096.SH,1.0614
600094.SH,0.5814
600097.SH,2.1852
600098.SH,1.4372
600095.SH,1.5104
600099.SH,1.8119
600100.SH,1.0555
600101.SH,4.6129
600103.SH,1.0845
600104.SH,0.2698
600106.SH,1.6185
600107.SH,0.6553
600105.SH,3.2532
600108.SH,1.6761
600109.SH,0.7091
600110.SH,12.1842
600111.SH,7.7143
600113.SH,3.4708
600115.SH,0.202
600114.SH,5.3969
600116.SH,0.3924
600117.SH,9.4574
600118.SH,3.3548
600119.SH,2.6644
600120.SH,1.0582
600121.SH,2.2537
600127.SH,2.1378
600126.SH,1.4837
600123.SH,0.7566
600128.SH,3.0377
600125.SH,0.9906
600129.SH,3.0721
600130.SH,2.3157
600135.SH,2.18
600131.SH,0.638
600133.SH,1.4756
600137.SH,2.9411
600136.SH,0.3936
600132.SH,0.5237
600138.SH,1.8455
600141.SH,0.7523
600143.SH,6.7947
600149.SH,2.7598
600148.SH,4.4829
600150.SH,3.4215
600152.SH,2.351
600151.SH,1.4493
600153.SH,0.3953
600155.SH,0.9277
600156.SH,3.5535
600158.SH,1.2512
600157.SH,1.2516
600159.SH,1.3424
600160.SH,0.7302
600161.SH,0.9185
600162.SH,0.6421
600163.SH,1.1686
600165.SH,0.8802
600167.SH,0.2626
600166.SH,1.4393
600168.SH,0.9365
600169.SH,1.348
600170.SH,1.2794
600171.SH,4.2859
600172.SH,3.9343
600177.SH,0.2161
600173.SH,1.267
600178.SH,6.116
600179.SH,1.2486
600176.SH,0.6256
600180.SH,1.2229
600182.SH,1.1879
600183.SH,1.1675
600184.SH,12.0909
600186.SH,2.8727
600187.SH,1.5618
600185.SH,0.7568
600188.SH,0.6896
600189.SH,1.3352
600191.SH,1.2745
600192.SH,8.6238
600193.SH,3.1363
600197.SH,1.7239
600195.SH,0.6917
600196.SH,0.9343
600198.SH,7.371
600199.SH,1.0316
600200.SH,13.9034
600201.SH,2.2573
600202.SH,3.2044
600203.SH,39.783
600206.SH,4.4187
600207.SH,1.2102
600208.SH,2.0181
600210.SH,0.7032
600211.SH,2.7681
600212.SH,18.3298
600217.SH,1.3639
600215.SH,1.9246
600218.SH,1.3072
600216.SH,2.1875
600219.SH,1.1589
600221.SH,0.9465
600222.SH,15.1412
600223.SH,1.0816
600227.SH,1.5084
600226.SH,1.1724
600228.SH,1.4047
600229.SH,0.6932
600230.SH,4.1612
600231.SH,0.7322
600232.SH,7.1644
600233.SH,1.0195
600234.SH,1.0059
600235.SH,1.9666
600237.SH,3.4898
600236.SH,0.1643
600239.SH,1.44
600238.SH,1.9755
600241.SH,1.8441
600243.SH,4.4083
600246.SH,7.4442
600249.SH,1.9599
600248.SH,0.4719
600250.SH,4.9562
600252.SH,3.1446
600255.SH,8.4668
600251.SH,2.3085
600256.SH,0.8867
600257.SH,3.2732
600258.SH,0.9526
600259.SH,4.5575
600261.SH,0.9825
600265.SH,0.284
600266.SH,1.1684
600262.SH,1.9124
600267.SH,1.3107
600268.SH,8.5538
600269.SH,0.382
600271.SH,0.8998
600272.SH,2.745
600273.SH,1.4071
600276.SH,0.569
600278.SH,1.8768
600279.SH,0.4362
600280.SH,0.9677
600281.SH,5.0052
600282.SH,0.3673
600284.SH,4.6804
600285.SH,0.8061
600283.SH,0.8683
600287.SH,1.2271
600289.SH,1.7368
600288.SH,9.1167
600292.SH,1.4965
600293.SH,1.7861
600295.SH,0.4314
600298.SH,0.693
600299.SH,0.2955
600300.SH,1.4324
600302.SH,10.4047
600301.SH,2.757
600303.SH,1.9371
600305.SH,0.5428
600307.SH,1.2374
600308.SH,0.7314
600309.SH,0.6682
600313.SH,1.9286
600310.SH,1.154
600312.SH,1.0965
600316.SH,1.9288
600315.SH,1.6441
600318.SH,3.4304
600319.SH,1.8446
600320.SH,1.6172
600322.SH,1.1473
600323.SH,0.4582
600325.SH,0.5469
600326.SH,29.1959
600327.SH,1.3875
600329.SH,1.0137
600328.SH,1.2969
600332.SH,0.4065
600331.SH,3.4281
600330.SH,2.0167
600333.SH,4.8122
600335.SH,0.8984
600336.SH,1.4067
600337.SH,1.3514
600338.SH,4.3148
600345.SH,10.1914
600339.SH,0.9554
600340.SH,1.2637
600343.SH,6.8877
600346.SH,0.1768
600348.SH,1.2055
600350.SH,0.1155
600351.SH,7.5725
600352.SH,0.3961
600353.SH,11.1382
600354.SH,7.4249
600355.SH,2.4601
600356.SH,1.2308
600358.SH,4.8278
600359.SH,5.3107
600360.SH,3.3528
600362.SH,1.6541
600361.SH,1.4805
600363.SH,1.2631
600365.SH,0.7063
600366.SH,12.0732
600367.SH,2.5912
600368.SH,1.6776
600370.SH,0.2439
600369.SH,0.4693
600372.SH,0.6124
600371.SH,3.392
600373.SH,0.4652
600375.SH,3.9106
600376.SH,1.1406
600377.SH,0.1216
600378.SH,2.501
600379.SH,1.2059
600380.SH,0.9258
600381.SH,1.2918
600382.SH,0.9094
600386.SH,1.0938
600383.SH,3.0654
600392.SH,18.4663
600389.SH,0.8668
600395.SH,0.556
600391.SH,4.8895
600388.SH,0.4701
600390.SH,0.7299
600396.SH,7.5318
600397.SH,2.2682
600405.SH,4.4416
600398.SH,0.2695
600399.SH,4.3639
600400.SH,0.7973
600403.SH,0.5414
600783.SH,0.4077
600782.SH,1.3324
600785.SH,5.9543
600784.SH,3.4267
600790.SH,0.4799
600787.SH,1.5548
600789.SH,2.6617
600791.SH,0.9233
600792.SH,1.3566
600793.SH,5.2239
600794.SH,3.166
600795.SH,0.7689
600797.SH,10.4066
600796.SH,2.2655
600798.SH,1.9514
600800.SH,6.1822
600801.SH,5.8067
600802.SH,3.7622
600803.SH,0.3019
600805.SH,2.0235
600807.SH,4.4427
600808.SH,5.1148
600810.SH,1.4567
600809.SH,0.3685
600812.SH,0.7868
600814.SH,0.5485
600815.SH,2.9541
600818.SH,1.8172
600816.SH,0.7479
600817.SH,0.827
600819.SH,1.244
600820.SH,2.2989
600821.SH,1.08
600822.SH,2.5399
600824.SH,1.1253
600825.SH,1.6821
600826.SH,2.5013
600827.SH,1.5038
600828.SH,1.8655
600829.SH,1.9832
600830.SH,2.6902
600831.SH,1.5539
600833.SH,1.8795
600834.SH,1.386
600835.SH,3.4993
600838.SH,1.6954
600839.SH,2.0106
600841.SH,3.0969
600843.SH,4.7795
600844.SH,1.9682
600845.SH,0.8014
600847.SH,1.7217
600846.SH,0.8283
600850.SH,1.2283
600848.SH,0.4435
600851.SH,1.0126
600853.SH,5.7688
600857.SH,2.213
600854.SH,1.2801
600855.SH,12.1048
600858.SH,2.372
600860.SH,3.6958
600859.SH,1.3336
600861.SH,3.2069
600864.SH,1.4583
600865.SH,0.8886
600863.SH,0.6321
600862.SH,0.8056
600866.SH,1.2897
600868.SH,0.8504
600869.SH,1.0005
600867.SH,0.6973
600871.SH,0.7287
600872.SH,0.9501
600873.SH,0.7326
600875.SH,3.5266
600876.SH,0.7811
600874.SH,0.9412
600877.SH,0.8637
600879.SH,5.9802
600882.SH,0.571
600883.SH,1.5126
600880.SH,2.6044
600881.SH,3.7311
600885.SH,0.7714
600884.SH,8.2254
600886.SH,0.1673
600887.SH,0.6606
600888.SH,5.5514
600893.SH,0.4468
600892.SH,1.955
