ts_code,ln_mv
000010.SZ,27.00260993106929
000006.SZ,27.501876401916615
000004.SZ,25.49689503798985
000001.SZ,30.811710576844646
000002.SZ,29.671631857573104
000008.SZ,27.388991783646084
000007.SZ,26.285979744181287
000009.SZ,28.480892974865903
000011.SZ,26.973059269050086
000017.SZ,26.807789856324767
000014.SZ,26.43713682564732
000020.SZ,26.69064087780882
000012.SZ,28.014779547616943
000019.SZ,27.40914176704859
000016.SZ,27.80254886704527
000021.SZ,28.690728477647
000028.SZ,27.9838846369442
000026.SZ,27.301146416179524
000029.SZ,28.382644428423152
000032.SZ,28.64319838068368
000027.SZ,28.794710347477974
000031.SZ,27.899004615496303
000025.SZ,27.3236606801635
000030.SZ,27.68872711140164
000035.SZ,27.708295380782783
000034.SZ,28.668314972585
000036.SZ,26.951339979249884
000037.SZ,27.055439173264332
000045.SZ,27.036093140942484
000039.SZ,29.115141053066733
000042.SZ,27.08468561696563
000048.SZ,27.476010205642474
000050.SZ,28.466261131525822
000049.SZ,27.515843102964787
000056.SZ,26.61450564463616
000055.SZ,26.839544033148417
000059.SZ,27.471442415247967
000058.SZ,27.732538720744085
000060.SZ,28.24018871880176
000061.SZ,27.75639485979286
000063.SZ,30.41348472361987
000062.SZ,28.62408470830804
000065.SZ,27.856977884513718
000068.SZ,26.59354632073572
000069.SZ,28.241138035656423
000066.SZ,29.20499669425123
000070.SZ,27.331244515308008
000078.SZ,27.292795506687572
000089.SZ,28.027652584744708
000088.SZ,28.498694285186765
000090.SZ,27.212057298002243
000096.SZ,27.182982480261323
000099.SZ,28.214369622593498
000100.SZ,29.798507280916184
000151.SZ,26.79598487153382
000153.SZ,26.51809189179573
000155.SZ,28.26197335885254
000166.SZ,30.22787233019213
000333.SZ,31.637222995031852
000157.SZ,29.504721034471142
000301.SZ,29.403256711478022
000156.SZ,28.054205854773635
000158.SZ,28.93393813214921
000159.SZ,26.38264190700309
000338.SZ,30.220757746535654
000401.SZ,27.921511317667065
000403.SZ,28.216193623675128
000400.SZ,28.49331686224781
000402.SZ,27.505156626034932
000404.SZ,26.966152361968298
000407.SZ,26.476061647057957
000408.SZ,29.70321165982318
000409.SZ,27.48691269743169
000410.SZ,28.091749523362466
000411.SZ,27.102059767402093
000419.SZ,26.49211851574672
000417.SZ,26.816777423809096
000420.SZ,27.6560532796454
000415.SZ,28.38595709732666
000421.SZ,26.689485094979005
000422.SZ,27.99271599719188
000423.SZ,28.822127979029013
000426.SZ,28.856462614008496
000425.SZ,29.989830030272003
000428.SZ,26.55912612829733
000429.SZ,28.59968253473841
000430.SZ,26.413360825559256
000488.SZ,27.270230742930995
000498.SZ,27.571621940845457
000501.SZ,27.523640238268747
000504.SZ,26.69973749783683
000507.SZ,26.954954030326803
000505.SZ,26.91611393221758
000506.SZ,27.601410579354805
000503.SZ,27.670425738996286
000509.SZ,26.654629857235555
000510.SZ,26.526609364840805
000513.SZ,28.916500647420616
