ts_code,momentum_12m_ex1m
000010.SZ,1.3836214037219061
000006.SZ,0.7329183359013869
000004.SZ,-0.2073132136798438
000001.SZ,0.27579538688350147
000002.SZ,-0.011159555693968648
000008.SZ,0.38564575521097266
000007.SZ,0.3942418125265168
000009.SZ,0.09720517210182744
000011.SZ,0.21184982797004648
000017.SZ,0.1472508513565325
000014.SZ,0.5537109109218082
000020.SZ,0.4448271036571625
000012.SZ,-0.011896860688922817
000019.SZ,0.18394806292102794
000016.SZ,1.4209273182957392
000021.SZ,0.34039561300430854
000028.SZ,-0.1603227515244403
000026.SZ,0.9341470903815434
000029.SZ,0.9480967308117414
000032.SZ,0.7046972322390299
000027.SZ,-0.0164679450104549
000031.SZ,0.30705728380146957
000025.SZ,0.28230854964819574
000030.SZ,0.22587076011733553
000035.SZ,-0.006709533128319789
000034.SZ,0.6584640477963641
000036.SZ,0.2787416881654009
000037.SZ,0.26221991221991225
000045.SZ,0.44487405960087845
000039.SZ,0.021187181496182816
000042.SZ,1.2895023961327161
000048.SZ,0.14361881166327062
000050.SZ,0.30407921491152123
000049.SZ,-0.06986196716216919
000056.SZ,0.9053254437869823
000055.SZ,0.2716688582073198
000059.SZ,0.3583888930979622
000058.SZ,0.6484756269371652
000060.SZ,0.1779339853300732
000061.SZ,0.26909872897295917
000063.SZ,0.24419569964305832
000062.SZ,2.063612696892907
000065.SZ,0.2046808510638296
000068.SZ,0.31892411143131594
000069.SZ,0.21020835112287606
000066.SZ,0.7771113084743968
000070.SZ,0.7917256342179442
000078.SZ,0.04394810555801265
000089.SZ,0.1017650980804996
000088.SZ,0.002178649237472685
000090.SZ,-0.0026494053891313873
000096.SZ,0.36631282234799056
000099.SZ,0.4853286548404765
000100.SZ,0.16424275685440515
000151.SZ,0.4318070818070818
000153.SZ,0.33407530684418574
000155.SZ,0.017324571941120803
000166.SZ,0.21420628301362243
000333.SZ,0.15150060492114958
000157.SZ,0.09384592190562335
000301.SZ,0.08597174163783161
000156.SZ,0.36124433134318634
000158.SZ,2.731220006657914
000159.SZ,0.15053155240561544
000338.SZ,0.08328778607066234
000401.SZ,0.08300164013121036
000403.SZ,-0.313688849382192
000400.SZ,-0.2982094726429563
000402.SZ,0.4046579545119324
000404.SZ,0.25973765141530136
000407.SZ,0.38366085328159194
000408.SZ,0.9202722437769735
000409.SZ,0.553032442712158
000410.SZ,0.007916201354235763
000411.SZ,0.17129268968736766
000419.SZ,0.41074593069046994
000417.SZ,0.3938137271470603
000420.SZ,0.31319340697019427
000415.SZ,0.3553719008264462
000421.SZ,0.38604107134925447
000422.SZ,0.05102313254985957
000423.SZ,0.045559625594581155
000426.SZ,0.480769407665377
000425.SZ,0.2912976895931818
000428.SZ,0.26770025839793266
000429.SZ,0.3162162162162162
000430.SZ,0.31420157846122887
000488.SZ,-0.5120686462127292
000498.SZ,0.23288205935731832
000501.SZ,0.4063409599573249
000504.SZ,0.46325436115040075
000507.SZ,0.24314913844325614
000505.SZ,0.31451895567771615
000506.SZ,8.488383349467568
000503.SZ,0.5083691710936841
000509.SZ,0.49781707858517077
000510.SZ,0.8447653429602888
000513.SZ,0.013939654937188406
000514.SZ,1.0656850047863058
000516.SZ,0.18345398406891378
