ts_code,pe_ttm
002344.SZ,64.2314
002346.SZ,20.3584
002345.SZ,58.5601
002350.SZ,57.1726
002348.SZ,
002349.SZ,31.6332
002351.SZ,26.6268
002347.SZ,980.3902
002352.SZ,22.9566
002353.SZ,16.7102
002356.SZ,
002354.SZ,
002355.SZ,13.1542
002357.SZ,23.1878
002358.SZ,53.308
002360.SZ,
002361.SZ,182.0078
002362.SZ,
002363.SZ,67.3421
002364.SZ,78.8625
002366.SZ,
002367.SZ,15.9101
002368.SZ,82.3511
002365.SZ,202.1413
002369.SZ,
002370.SZ,172.7692
002371.SZ,39.0879
002373.SZ,
002372.SZ,18.7661
002374.SZ,
002376.SZ,90.3438
002375.SZ,17.5126
002377.SZ,
002378.SZ,64.5098
002380.SZ,22.947
002379.SZ,
002381.SZ,22.7277
002382.SZ,
002383.SZ,
002384.SZ,76.5025
002385.SZ,26.1908
002386.SZ,
002388.SZ,
002389.SZ,484.24
002387.SZ,
002390.SZ,86.2893
002391.SZ,
002392.SZ,22.1893
002393.SZ,34.1946
002397.SZ,104.8589
002394.SZ,12.7899
002396.SZ,38.5472
002398.SZ,85.3592
002395.SZ,9.4387
002399.SZ,29.4912
002400.SZ,131.1713
002401.SZ,93.6035
002402.SZ,56.6378
002404.SZ,23.0629
002403.SZ,11943.1792
002405.SZ,
002406.SZ,50.685
002407.SZ,
002408.SZ,2872.1352
002409.SZ,29.5348
002413.SZ,
002412.SZ,19.8971
002410.SZ,80.3128
002415.SZ,21.1318
002414.SZ,
002416.SZ,27.7852
002418.SZ,
002419.SZ,86.91
002422.SZ,23.4587
002420.SZ,44.7967
002421.SZ,
002423.SZ,28.9283
002424.SZ,1405.265
002425.SZ,
002426.SZ,
002427.SZ,1616.0699
002428.SZ,199.7165
002432.SZ,11.1433
002431.SZ,
002429.SZ,13.3804
002430.SZ,23.5669
002434.SZ,43.1059
002437.SZ,33.1184
002436.SZ,
002438.SZ,24.9811
002440.SZ,32.9026
002439.SZ,
002442.SZ,22.8362
002441.SZ,39.0017
002443.SZ,19.6254
002445.SZ,46.1783
002444.SZ,16.579
002446.SZ,
002448.SZ,24.0055
002452.SZ,18.016
002451.SZ,190.055
002449.SZ,142.0188
002453.SZ,
002454.SZ,31.2677
002456.SZ,
002458.SZ,31.2275
002455.SZ,35.7853
002459.SZ,
002457.SZ,15.3904
002460.SZ,
002461.SZ,27.5113
002462.SZ,33.374
002465.SZ,619.3828
002466.SZ,
002468.SZ,24.4629
002467.SZ,146.7171
002463.SZ,34.6621
002469.SZ,21.9233
002470.SZ,136.6501
002471.SZ,
