ts_code,pe_ttm
605300.SH,149.9376
605303.SH,
605299.SH,45.2675
605298.SH,69.6914
605305.SH,23.2363
605318.SH,
605319.SH,21.7056
605333.SH,22.5554
605338.SH,17.9392
605339.SH,50.3712
605337.SH,21.4459
605336.SH,80.4387
605358.SH,
605365.SH,17.8309
605366.SH,
605368.SH,16.7131
605376.SH,91.741
605378.SH,46.6885
605377.SH,12.7451
605369.SH,30.0224
605389.SH,70.8182
605388.SH,
605398.SH,309.063
605399.SH,386.3514
605500.SH,21.3841
605499.SH,39.0095
605507.SH,15.4914
605488.SH,62.9873
605555.SH,20.3708
605566.SH,153.2362
605567.SH,89.4577
605577.SH,34.3563
605580.SH,31.9627
605599.SH,16.0588
605588.SH,
605589.SH,27.9069
605598.SH,73.0923
688001.SH,
688002.SH,53.7796
688003.SH,76.7078
688005.SH,73.5656
688007.SH,
688004.SH,
688006.SH,45.5324
688008.SH,61.0499
688009.SH,16.7196
688010.SH,594.5114
688011.SH,
688012.SH,73.0406
688013.SH,55.8563
688017.SH,436.9905
688015.SH,47.4577
688016.SH,30.5758
688018.SH,62.3566
688019.SH,41.1782
688020.SH,
688021.SH,
688022.SH,
688023.SH,
688025.SH,70.6327
688026.SH,35.3205
688027.SH,
688028.SH,38.6306
688030.SH,
688031.SH,
688029.SH,27.8134
688032.SH,50.0888
688033.SH,
688035.SH,53.975
688036.SH,22.4578
688037.SH,118.6888
688045.SH,
688041.SH,138.8251
688038.SH,
688039.SH,
688046.SH,60.8381
688047.SH,
688048.SH,
688049.SH,60.7884
688050.SH,39.5393
688052.SH,
688051.SH,
688053.SH,
688055.SH,
688056.SH,66.0646
688057.SH,25.9381
688058.SH,
688059.SH,47.9997
688062.SH,
688060.SH,
688061.SH,
688063.SH,
688065.SH,67.6746
688066.SH,
688067.SH,81.8018
688070.SH,
688069.SH,
688068.SH,
688071.SH,
688072.SH,86.781
688073.SH,42.2974
688075.SH,34.2178
688076.SH,29.9382
688077.SH,122.9138
688078.SH,83.3578
688079.SH,
688080.SH,25.8077
688081.SH,
688082.SH,35.9681
688083.SH,267.9971
688084.SH,
688085.SH,249.7062
688087.SH,18.1404
688089.SH,32.4082
688088.SH,100.593
688090.SH,362.9182
688091.SH,1425.9752
688092.SH,34.1706
688093.SH,29.7677
688095.SH,224.3189
688097.SH,34.565
688096.SH,
688098.SH,
688099.SH,33.7248
688100.SH,25.4897
688101.SH,15.357
688102.SH,99.2154
688103.SH,151.6915
688106.SH,51.2694
688107.SH,
688105.SH,
688108.SH,1385.0277
688109.SH,78.9831
688110.SH,
