ts_code,revenue_growth
002291.SZ,-38.5157
002294.SZ,-2.6365
002293.SZ,0.5707
002295.SZ,48.5781
002298.SZ,-3.2745
002297.SZ,50.8384
002296.SZ,21.3445
002299.SZ,-2.3802
002300.SZ,-10.5177
002301.SZ,0.9768
002302.SZ,-7.592
002303.SZ,15.2782
002306.SZ,229.9897
002305.SZ,-40.0805
002304.SZ,-31.9208
002307.SZ,3.4663
002309.SZ,-44.1354
002310.SZ,-97.9291
002311.SZ,12.4964
002312.SZ,24.6977
002316.SZ,26.0047
002314.SZ,205.0918
002313.SZ,-24.0803
002317.SZ,-1.0704
002315.SZ,15.3978
002319.SZ,4.7811
002318.SZ,20.6736
002320.SZ,-5.1069
002322.SZ,-4.1416
002321.SZ,3.7759
002324.SZ,-0.6849
002323.SZ,-26.0123
002326.SZ,28.9883
002327.SZ,-17.8029
002328.SZ,-26.6528
002329.SZ,-6.9024
002330.SZ,-4.829
002332.SZ,-2.8642
002331.SZ,-10.519
002333.SZ,15.8683
002334.SZ,-11.4698
002335.SZ,2.7313
002337.SZ,-13.2614
002340.SZ,13.6673
002342.SZ,12.4427
002338.SZ,-3.6335
002339.SZ,46.7697
002343.SZ,4562.3025
002344.SZ,-0.8414
002346.SZ,2.5293
002345.SZ,25.3645
002350.SZ,60.2153
002348.SZ,14.8213
002349.SZ,-0.9788
002351.SZ,-3.0361
002347.SZ,26.0911
002352.SZ,6.9005
002353.SZ,39.2063
002356.SZ,365.3932
002354.SZ,31.1455
002355.SZ,7.7576
002357.SZ,-6.0123
002358.SZ,23.3437
002360.SZ,-27.6722
002361.SZ,3.6286
002362.SZ,13.9412
002363.SZ,-2.549
002364.SZ,11.0655
002366.SZ,11.5406
002367.SZ,-4.8022
002368.SZ,-15.9554
002365.SZ,-12.9629
002369.SZ,1.1709
002370.SZ,-42.7299
002371.SZ,37.9033
002373.SZ,1.8333
002372.SZ,-10.1965
002374.SZ,-16.7864
002376.SZ,21.0527
002375.SZ,-19.6701
002377.SZ,29.5248
002378.SZ,35.7352
002380.SZ,14.6012
002379.SZ,-4.8308
002381.SZ,12.836
002382.SZ,1.5852
002383.SZ,25.171
002384.SZ,11.0711
002385.SZ,2.358
002386.SZ,4.4226
002388.SZ,-17.1384
002389.SZ,-32.0811
002387.SZ,1.0136
002390.SZ,-8.9255
002391.SZ,6.9966
002392.SZ,10.5356
002393.SZ,1.369
002397.SZ,-19.2245
002394.SZ,-16.113
002396.SZ,11.0245
002398.SZ,1.7799
002395.SZ,41.1033
002399.SZ,1.5291
002400.SZ,16.0588
002401.SZ,-15.0246
002402.SZ,30.4364
002404.SZ,2.0529
002403.SZ,-5.0836
002405.SZ,6.8658
002406.SZ,6.9412
002407.SZ,-2.0935
